   Time      Pc            Tc         R           L           T_eff       M           ignore
#   [yr]       [dyn/cm^2]   [K]         [R_sun]     [L_sun]     [K]         [M_sun]     []
  2.0000e+06  2.3447e+16  3.3535e+07  5.5453e+00  2.0338e+04  2.9270e+04  1.4400e+01  7.5172e-52
  2.0000e+06  2.2968e+16  3.3667e+07  5.6380e+00  2.1695e+04  2.9500e+04  1.4700e+01  7.5172e-52
  2.0000e+06  2.2504e+16  3.3796e+07  5.7339e+00  2.3144e+04  2.9727e+04  1.5000e+01  7.5172e-52
  2.0000e+06  2.2185e+16  3.3892e+07  5.8016e+00  2.4211e+04  2.9892e+04  1.5220e+01  7.5172e-52
  2.0000e+06  2.1869e+16  3.3989e+07  5.8721e+00  2.5343e+04  3.0052e+04  1.5440e+01  7.5172e-52
  2.0000e+06  2.1564e+16  3.4079e+07  5.9425e+00  2.6522e+04  3.0216e+04  1.5660e+01  7.5172e-52
  2.0000e+06  2.1257e+16  3.4176e+07  6.0137e+00  2.7746e+04  3.0378e+04  1.5890e+01  7.5172e-52
  2.0000e+06  2.0969e+16  3.4273e+07  6.0873e+00  2.9045e+04  3.0545e+04  1.6120e+01  7.5172e-52
  2.0000e+06  2.0679e+16  3.4365e+07  6.1609e+00  3.0387e+04  3.0703e+04  1.6350e+01  7.5172e-52
  2.0000e+06  2.0398e+16  3.4460e+07  6.2349e+00  3.1784e+04  3.0864e+04  1.6590e+01  7.5172e-52
  2.0000e+06  2.0116e+16  3.4556e+07  6.3104e+00  3.3237e+04  3.1026e+04  1.6830e+01  7.5172e-52
  2.0000e+06  1.9848e+16  3.4661e+07  6.3875e+00  3.4774e+04  3.1185e+04  1.7070e+01  7.5172e-52
  2.0000e+06  1.9578e+16  3.4757e+07  6.4662e+00  3.6374e+04  3.1349e+04  1.7320e+01  7.5172e-52
  2.0000e+06  1.9309e+16  3.4853e+07  6.5459e+00  3.8035e+04  3.1506e+04  1.7570e+01  7.5172e-52
  2.0000e+06  1.9061e+16  3.4953e+07  6.6265e+00  3.9783e+04  3.1666e+04  1.7830e+01  7.5172e-52
  2.0000e+06  1.8803e+16  3.5049e+07  6.7085e+00  4.1589e+04  3.1821e+04  1.8080e+01  7.5172e-52
  2.0000e+06  1.8553e+16  3.5150e+07  6.7919e+00  4.3500e+04  3.1980e+04  1.8350e+01  7.5172e-52
  2.0000e+06  1.8314e+16  3.5247e+07  6.8774e+00  4.5482e+04  3.2139e+04  1.8610e+01  7.5172e-52
  2.0000e+06  1.8076e+16  3.5345e+07  6.9631e+00  4.7544e+04  3.2295e+04  1.8880e+01  7.5172e-52
  2.0000e+06  1.7839e+16  3.5446e+07  7.0511e+00  4.9698e+04  3.2455e+04  1.9150e+01  7.5172e-52
  2.0000e+06  1.7603e+16  3.5553e+07  7.1410e+00  5.1963e+04  3.2606e+04  1.9430e+01  2.3804e-51
  2.0000e+06  1.7382e+16  3.5649e+07  7.2319e+00  5.4310e+04  3.2761e+04  1.9710e+01  7.5172e-52
  2.0000e+06  1.7162e+16  3.5754e+07  7.3250e+00  5.6765e+04  3.2917e+04  2.0000e+01  7.5172e-52
  2.0000e+06  1.6855e+16  3.5893e+07  7.4570e+00  6.0388e+04  3.3136e+04  2.0410e+01  7.5172e-52
  2.0000e+06  1.6553e+16  3.6044e+07  7.5971e+00  6.4241e+04  3.3335e+04  2.0830e+01  7.5172e-52
  2.0000e+06  1.6271e+16  3.6186e+07  7.7411e+00  6.8318e+04  3.3540e+04  2.1250e+01 -8.7700e-52
  2.0000e+06  1.5985e+16  3.6332e+07  7.8882e+00  7.2644e+04  3.3738e+04  2.1690e+01  7.5172e-52
  2.0000e+06  1.5706e+16  3.6476e+07  8.0414e+00  7.7244e+04  3.3930e+04  2.2130e+01  7.5172e-52
  2.0000e+06  1.5444e+16  3.6624e+07  8.1960e+00  8.2079e+04  3.4125e+04  2.2590e+01  7.5172e-52
  2.0000e+06  1.5192e+16  3.6778e+07  8.3539e+00  8.7217e+04  3.4315e+04  2.3050e+01  7.5172e-52
  2.0000e+06  1.4939e+16  3.6927e+07  8.5124e+00  9.2623e+04  3.4509e+04  2.3520e+01  7.5172e-52
  2.0000e+06  1.4693e+16  3.7072e+07  8.6740e+00  9.8311e+04  3.4703e+04  2.4000e+01  7.5172e-52
  2.0000e+06  1.4456e+16  3.7222e+07  8.8419e+00  1.0434e+05  3.4885e+04  2.4490e+01  7.5172e-52
  2.0000e+06  1.4218e+16  3.7367e+07  9.0151e+00  1.1069e+05  3.5058e+04  2.5000e+01 -8.7700e-52
  2.0000e+06  1.3983e+16  3.7509e+07  9.1930e+00  1.1729e+05  3.5226e+04  2.5510e+01  7.5172e-52
  2.0000e+06  1.3754e+16  3.7656e+07  9.3776e+00  1.2428e+05  3.5387e+04  2.6030e+01  7.5172e-52
  2.0000e+06  1.3531e+16  3.7809e+07  9.5707e+00  1.3162e+05  3.5538e+04  2.6560e+01  7.5172e-52
  2.0000e+06  1.3313e+16  3.7960e+07  9.7719e+00  1.3927e+05  3.5666e+04  2.7110e+01  7.5172e-52
  2.0000e+06  1.3102e+16  3.8106e+07  9.9814e+00  1.4734e+05  3.5798e+04  2.7660e+01  7.5172e-52
  2.0000e+06  1.2893e+16  3.8256e+07  1.0193e+01  1.5574e+05  3.5916e+04  2.8230e+01  7.5172e-52
  2.0000e+06  1.2693e+16  3.8404e+07  1.0410e+01  1.6464e+05  3.6027e+04  2.8810e+01  7.5172e-52
  2.0000e+06  1.2494e+16  3.8558e+07  1.0643e+01  1.7401e+05  3.6138e+04  2.9400e+01  7.5172e-52
  2.0000e+06  1.2306e+16  3.8708e+07  1.0872e+01  1.8380e+05  3.6241e+04  3.0000e+01  7.5172e-52
  2.0000e+06  1.2067e+16  3.8914e+07  1.1198e+01  1.9715e+05  3.6345e+04  3.0780e+01  7.5172e-52
  2.0000e+06  1.1825e+16  3.9105e+07  1.1540e+01  2.1141e+05  3.6429e+04  3.1570e+01  7.5172e-52
  2.0000e+06  1.1589e+16  3.9306e+07  1.1904e+01  2.2657e+05  3.6498e+04  3.2390e+01  7.5172e-52
  2.0000e+06  1.1364e+16  3.9513e+07  1.2276e+01  2.4267e+05  3.6552e+04  3.3230e+01  7.5172e-52
  2.0000e+06  1.1140e+16  3.9716e+07  1.2678e+01  2.5976e+05  3.6598e+04  3.4090e+01  7.5172e-52
  2.0000e+06  1.0928e+16  3.9919e+07  1.3090e+01  2.7784e+05  3.6626e+04  3.4970e+01  7.5172e-52
  2.0000e+06  1.0724e+16  4.0124e+07  1.3531e+01  2.9715e+05  3.6637e+04  3.5870e+01  7.5172e-52
  2.0000e+06  1.0523e+16  4.0324e+07  1.3995e+01  3.1745e+05  3.6622e+04  3.6800e+01  7.5172e-52
  2.0000e+06  1.0335e+16  4.0541e+07  1.4478e+01  3.3883e+05  3.6598e+04  3.7750e+01  7.5172e-52
  2.0000e+06  1.0153e+16  4.0745e+07  1.5002e+01  3.6159e+05  3.6537e+04  3.8730e+01  7.5172e-52
  2.0000e+06  9.9684e+15  4.0959e+07  1.5572e+01  3.8565e+05  3.6452e+04  3.9730e+01  7.5172e-52
  2.0000e+06  9.7958e+15  4.1174e+07  1.6183e+01  4.1091e+05  3.6327e+04  4.0760e+01  7.5172e-52
  2.0000e+06  9.6283e+15  4.1382e+07  1.6837e+01  4.3751e+05  3.6175e+04  4.1810e+01  7.5172e-52
  2.0000e+06  9.4673e+15  4.1603e+07  1.7553e+01  4.6564e+05  3.5988e+04  4.2900e+01  7.5172e-52
  2.0000e+06  9.3119e+15  4.1816e+07  1.8300e+01  4.9520e+05  3.5789e+04  4.4010e+01 -8.7700e-52
  2.0000e+06  9.1606e+15  4.2049e+07  1.9159e+01  5.2654e+05  3.5519e+04  4.5140e+01  7.5172e-52
  2.0000e+06  9.0174e+15  4.2270e+07  2.0020e+01  5.5903e+05  3.5276e+04  4.6310e+01  7.5172e-52
  2.0000e+06  8.8781e+15  4.2492e+07  2.0946e+01  5.9295e+05  3.4999e+04  4.7510e+01  7.5172e-52
  2.0000e+06  8.7451e+15  4.2717e+07  2.1964e+01  6.2828e+05  3.4672e+04  4.8740e+01  7.5172e-52
  2.0000e+06  8.6147e+15  4.2950e+07  2.3119e+01  6.6527e+05  3.4284e+04  5.0000e+01  7.5172e-52
  2.0000e+06  8.5359e+15  4.3115e+07  2.3903e+01  6.9018e+05  3.4029e+04  5.0850e+01  7.5172e-52
  2.0000e+06  8.4555e+15  4.3277e+07  2.4768e+01  7.1611e+05  3.3739e+04  5.1710e+01  7.5172e-52
  2.0000e+06  8.3851e+15  4.3459e+07  2.5740e+01  7.4342e+05  3.3406e+04  5.2590e+01 -8.7700e-52
  2.0000e+06  8.3074e+15  4.3612e+07  2.6685e+01  7.7054e+05  3.3106e+04  5.3480e+01  7.5172e-52
  2.0000e+06  8.2417e+15  4.3791e+07  2.7750e+01  7.9899e+05  3.2763e+04  5.4390e+01  7.5172e-52
  2.0000e+06  8.1578e+15  4.3957e+07  2.8939e+01  8.2874e+05  3.2370e+04  5.5310e+01  7.5172e-52
  2.0000e+06  8.0774e+15  4.4140e+07  3.0309e+01  8.6010e+05  3.1926e+04  5.6250e+01  7.5172e-52
  2.0000e+06  8.0011e+15  4.4327e+07  3.1782e+01  8.9230e+05  3.1464e+04  5.7200e+01  7.5172e-52
  2.0000e+06  7.9303e+15  4.4518e+07  3.3352e+01  9.2536e+05  3.0998e+04  5.8170e+01  7.5172e-52
  2.0000e+06  7.8617e+15  4.4709e+07  3.5106e+01  9.5943e+05  3.0481e+04  5.9160e+01  7.5172e-52
  2.0000e+06  7.7964e+15  4.4903e+07  3.6957e+01  9.9438e+05  2.9977e+04  6.0160e+01 -8.7700e-52
  2.0000e+06  7.7360e+15  4.5106e+07  3.9005e+01  1.0303e+06  2.9443e+04  6.1180e+01  7.5172e-52
  2.0000e+06  7.7065e+15  4.5335e+07  4.0881e+01  1.0665e+06  2.9014e+04  6.2220e+01  7.5172e-52
  2.0000e+06  7.6278e+15  4.5518e+07  4.3568e+01  1.1040e+06  2.8348e+04  6.3280e+01  7.5172e-52
  2.0000e+06  7.6088e+15  4.5722e+07  4.5495e+01  1.1388e+06  2.7951e+04  6.4350e+01  7.5172e-52
  2.0000e+06  7.5388e+15  4.5957e+07  4.9197e+01  1.1827e+06  2.7141e+04  6.5440e+01  7.5172e-52
  2.0000e+06  7.5471e+15  4.6292e+07  5.2902e+01  1.2256e+06  2.6402e+04  6.6550e+01  7.5172e-52
  2.0000e+06  7.5064e+15  4.6518e+07  5.6697e+01  1.2666e+06  2.5716e+04  6.7680e+01  7.5172e-52
  2.0000e+06  7.4856e+15  4.6758e+07  6.0590e+01  1.3074e+06  2.5075e+04  6.8830e+01  7.5172e-52
  2.0000e+06  7.5044e+15  4.7132e+07  6.6363e+01  1.3538e+06  2.4168e+04  7.0000e+01  7.5172e-52
